,1,2,3,4,5
0,0,0,0,0,0
0.05,0.0153664,0.0107016,0.0076832,0.0063112,0.0046648
0.1,0.031556,0.021952,0.0161896,0.0128968,0.0098784
0.15,0.0491176,0.0337512,0.0244216,0.0200312,0.015092
0.2,0.0675024,0.0458248,0.0332024,0.0266168,0.0203056
0.25,0.0867104,0.0587216,0.042532,0.0340256,0.0255192
0.3,0.1067416,0.0716184,0.0518616,0.0417088,0.0307328
0.35,0.1278704,0.085064,0.0609168,0.0491176,0.0364952
0.4,0.1503712,0.0990584,0.0710696,0.0565264,0.0419832
0.45,0.1731464,0.1133272,0.0814968,0.0647584,0.0474712
0.5,0.1967448,0.1281448,0.0916496,0.072716,0.0532336
0.55,0.2219896,0.1437856,0.1026256,0.0812224,0.058996
0.6,0.2475088,0.1594264,0.1130528,0.0894544,0.0650328
0.65,0.2738512,0.1753416,0.1240288,0.0979608,0.0710696
0.7,0.3015656,0.1923544,0.135828,0.107016,0.0773808
0.75,0.3295544,0.2090928,0.1479016,0.1157968,0.0834176
0.8,0.3591896,0.2269288,0.1602496,0.124852,0.0897288
0.85,0.3890992,0.2444904,0.1723232,0.134456,0.0963144
0.9,0.419832,0.2628752,0.18522,0.1437856,0.1026256
0.95,0.4519368,0.2815344,0.1978424,0.153664,0.1094856
1,0.4845904,0.3001936,0.2107392,0.1640912,0.1157968
1.05,0.5177928,0.319676,0.2241848,0.174244,0.1226568
1.1,0.5526416,0.3397072,0.2376304,0.1846712,0.1297912
1.15,0.5883136,0.3597384,0.2516248,0.1953728,0.1363768
1.2,0.6248088,0.3803184,0.2656192,0.2060744,0.1437856
1.25,0.664048,0.4017216,0.2796136,0.216776,0.15092
1.3,0.7030128,0.4228504,0.2944312,0.2283008,0.1580544
1.35,0.7425264,0.444528,0.3087,0.2392768,0.1657376
1.4,0.78204,0.4670288,0.3240664,0.2508016,0.172872
1.45,0.8207304,0.4895296,0.3394328,0.2626008,0.1802808
1.5,0.8635368,0.5125792,0.3545248,0.2741256,0.187964
1.55,0.9143008,0.536452,0.3701656,0.2859248,0.1956472
1.6,0.9554608,0.5600504,0.3860808,0.297724,0.203056
1.65,0.9867424,0.5852952,0.4017216,0.310072,0.2107392
1.7,1.044092,0.6099912,0.4187344,0.32242,0.2186968
1.75,1.081136,0.6368824,0.4351984,0.3350424,0.22638
1.8,1.1329976,0.6629504,0.4519368,0.3473904,0.234612
1.85,1.218336,0.6925856,0.4689496,0.3602872,0.2422952
1.9,1.2254704,0.7172816,0.4865112,0.3734584,0.2508016
1.95,1.2806248,0.7444472,0.5040728,0.3863552,0.2590336
2,1.3110832,0.7705152,0.5221832,0.3995264,0.2669912
2.05,1.3612984,0.801248,0.5400192,0.4132464,0.2752232
2.1,1.4082208,0.83006,0.558404,0.426692,0.2831808
2.15,1.4603568,0.8583232,0.5773376,0.4401376,0.2916872
2.2,1.5089256,0.8854888,0.5984664,0.454132,0.3001936
2.25,1.5701168,0.9156728,0.6154792,0.4681264,0.3084256
